,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESBAMH_20230216002023030300T.scan,3,72,-0.328,-0.494,0.335,-0.513,0.319,0.049,-0.452,0.0,0.0,0.0,-3.431,-4.577,1.744,0.073,-0.013,-0.378,0.149,-0.07,0.057
VIESBAMH_20230216002023030300T.scan,4,96,-0.342,-0.537,0.35,-0.561,0.332,0.0,-0.497,0.0,0.0,0.0,-3.596,-5.154,1.664,0.059,-0.051,-0.488,0.149,-0.075,0.063
VIESBAMH_20230216002023030300T.scan,5,120,-0.333,-0.545,0.327,-0.572,0.308,-0.053,-0.557,0.0,0.0,0.0,-3.998,-5.997,0.472,0.053,-0.071,-0.525,0.149,-0.049,0.041
VIESBAMH_20230216002023030300T.scan,6,144,-0.34,-0.585,0.282,-0.614,0.262,-0.099,-0.619,0.0,0.0,0.0,-4.652,-7.318,-1.427,0.06,-0.012,-0.478,0.126,-0.055,0.071
VIESBAMH_20230216002023030300T.scan,7,168,-0.366,-0.644,0.245,-0.674,0.224,-0.114,-0.645,0.0,0.0,0.0,-5.08,-8.648,-2.98,0.115,0.03,-0.408,0.095,-0.027,0.078
VIESBAMH_20230216002023030300T.scan,8,192,-0.41,-0.708,0.218,-0.742,0.198,-0.101,-0.73,0.0,0.0,0.0,-5.82,-10.242,-4.262,0.147,0.027,-0.344,0.099,-0.021,0.107
VIESBAMH_20230216002023030300T.scan,9,216,-0.478,-0.766,0.209,-0.8,0.188,-0.069,-0.814,0.0,0.0,0.0,-6.446,-11.357,-4.423,0.136,-0.018,-0.339,0.1,-0.015,0.122
VIESBAMH_20230216002023030300T.scan,10,240,-0.524,-0.817,0.19,-0.851,0.169,-0.012,-0.909,0.0,0.0,0.0,-7.26,-12.823,-4.889,0.179,-0.017,-0.366,0.111,-0.009,0.1
VIESBAMH_20230216002023030300T.scan,11,264,-0.553,-0.867,0.114,-0.903,0.092,0.004,-0.985,0.0,0.0,0.0,-7.866,-14.694,-6.905,0.227,0.038,-0.322,0.107,0.001,0.043
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,2.293,2.015,1.213,2.021,1.213,1.399,2.931,0.001,0.001,0.0,23.836,26.009,30.259,3.4,3.317,4.645,3.312,3.33,4.783
RMSEBAMH_20230216002023030300T.scan,2,48,3.063,2.8,1.826,2.798,1.822,1.97,4.198,0.001,0.001,0.001,31.976,35.532,43.333,4.527,4.595,6.416,4.381,4.673,6.665
RMSEBAMH_20230216002023030300T.scan,3,72,3.575,3.364,2.375,3.348,2.365,2.466,5.351,0.001,0.002,0.001,40.178,47.636,59.984,5.412,5.788,8.105,5.245,5.936,8.437
RMSEBAMH_20230216002023030300T.scan,4,96,3.96,3.822,2.804,3.793,2.79,2.871,6.3,0.002,0.002,0.001,47.745,59.415,75.079,6.127,6.884,9.66,5.967,7.077,10.111
RMSEBAMH_20230216002023030300T.scan,5,120,4.26,4.19,3.223,4.146,3.206,3.2,7.165,0.002,0.002,0.001,54.6,71.735,91.205,6.666,7.954,11.083,6.561,8.171,11.75
RMSEBAMH_20230216002023030300T.scan,6,144,4.557,4.598,3.658,4.54,3.638,3.494,8.049,0.002,0.002,0.001,61.828,83.732,107.749,7.189,8.794,12.271,7.112,9.259,13.236
