,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORBAMH_20230216002023030300T.scan,1,24,0.99,0.99,0.994,0.989,0.994,0.953,1.0,0.981,0.965,0.902,0.992,0.997,0.998,0.955,0.967,0.962,0.912,0.939,0.943
ACORBAMH_20230216002023030300T.scan,2,48,0.983,0.982,0.987,0.981,0.987,0.903,0.999,0.956,0.91,0.791,0.984,0.994,0.996,0.913,0.934,0.923,0.825,0.873,0.878
ACORBAMH_20230216002023030300T.scan,3,72,0.978,0.976,0.977,0.975,0.977,0.848,0.999,0.939,0.871,0.703,0.975,0.99,0.992,0.865,0.895,0.871,0.732,0.786,0.786
ACORBAMH_20230216002023030300T.scan,4,96,0.973,0.969,0.966,0.968,0.966,0.786,0.998,0.924,0.842,0.628,0.961,0.983,0.986,0.815,0.841,0.801,0.625,0.673,0.666
ACORBAMH_20230216002023030300T.scan,5,120,0.968,0.962,0.953,0.961,0.953,0.727,0.997,0.911,0.821,0.576,0.945,0.973,0.978,0.772,0.772,0.721,0.516,0.528,0.513
ACORBAMH_20230216002023030300T.scan,6,144,0.964,0.954,0.939,0.954,0.939,0.68,0.997,0.9,0.809,0.539,0.928,0.964,0.97,0.718,0.706,0.648,0.421,0.399,0.366
ACORBAMH_20230216002023030300T.scan,7,168,0.958,0.947,0.93,0.946,0.93,0.638,0.996,0.892,0.8,0.507,0.905,0.952,0.962,0.668,0.639,0.588,0.327,0.281,0.271
ACORBAMH_20230216002023030300T.scan,8,192,0.955,0.94,0.92,0.94,0.92,0.615,0.995,0.883,0.786,0.474,0.879,0.941,0.954,0.612,0.57,0.511,0.24,0.185,0.172
ACORBAMH_20230216002023030300T.scan,9,216,0.953,0.937,0.907,0.936,0.908,0.596,0.994,0.875,0.777,0.442,0.855,0.927,0.943,0.571,0.492,0.424,0.199,0.092,0.086
ACORBAMH_20230216002023030300T.scan,10,240,0.951,0.933,0.898,0.933,0.898,0.592,0.993,0.873,0.771,0.419,0.841,0.919,0.935,0.547,0.455,0.377,0.186,0.057,0.044
ACORBAMH_20230216002023030300T.scan,11,264,0.949,0.93,0.894,0.929,0.895,0.573,0.993,0.873,0.772,0.41,0.827,0.913,0.932,0.52,0.414,0.35,0.173,0.023,0.011
VIESBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH0_20230216002023030300T.scan,1,24,-0.377,-0.379,0.05,-0.394,0.045,-0.035,0.147,0.0,0.0,0.0,-0.203,-1.94,-1.061,-0.066,-0.061,-0.099,-0.03,0.005,-0.032
VIESBAMH0_20230216002023030300T.scan,2,48,-0.664,-0.756,0.044,-0.785,0.037,-0.078,0.267,0.0,0.0,0.0,0.666,-3.604,-1.996,-0.094,-0.041,-0.134,-0.017,-0.007,-0.04
VIESBAMH0_20230216002023030300T.scan,3,72,-0.812,-0.98,-0.004,-1.019,-0.013,-0.163,0.378,0.0,0.0,0.0,1.249,-5.21,-4.147,-0.108,0.016,-0.12,-0.01,-0.009,-0.01
VIESBAMH0_20230216002023030300T.scan,4,96,-0.969,-1.188,-0.094,-1.233,-0.105,-0.297,0.464,0.0,0.0,0.0,1.735,-6.998,-7.602,-0.135,0.083,-0.106,-0.008,-0.007,-0.044
VIESBAMH0_20230216002023030300T.scan,5,120,-1.046,-1.322,-0.198,-1.372,-0.21,-0.431,0.482,0.0,0.0,0.0,1.653,-9.241,-11.898,-0.092,0.191,-0.001,0.0,0.031,0.032
VIESBAMH0_20230216002023030300T.scan,6,144,-1.081,-1.424,-0.323,-1.479,-0.335,-0.51,0.383,0.0,0.0,0.0,0.588,-12.51,-17.158,-0.004,0.375,0.106,-0.007,0.056,0.091
VIESBAMH0_20230216002023030300T.scan,7,168,-1.128,-1.515,-0.444,-1.572,-0.456,-0.547,0.219,0.0,0.0,0.0,-1.189,-16.424,-22.614,0.095,0.519,0.203,0.004,0.083,0.102
VIESBAMH0_20230216002023030300T.scan,8,192,-1.207,-1.672,-0.552,-1.729,-0.564,-0.57,0.037,0.0,0.0,0.0,-2.754,-20.232,-27.583,0.162,0.586,0.255,0.061,0.067,0.138
VIESBAMH0_20230216002023030300T.scan,9,216,-1.319,-1.803,-0.688,-1.859,-0.699,-0.608,-0.057,0.0,0.0,0.0,-3.652,-23.445,-32.158,0.209,0.643,0.368,0.048,0.065,0.115
VIESBAMH0_20230216002023030300T.scan,10,240,-1.4,-1.912,-0.811,-1.97,-0.821,-0.652,-0.073,0.0,0.0,0.0,-3.642,-25.622,-35.479,0.201,0.673,0.43,0.06,0.056,0.067
VIESBAMH0_20230216002023030300T.scan,11,264,-1.419,-1.937,-0.876,-1.994,-0.887,-0.673,-0.109,0.0,0.0,0.0,-4.062,-27.212,-37.289,0.197,0.727,0.525,0.051,0.045,0.041
RMSEBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH0_20230216002023030300T.scan,1,24,1.489,1.498,0.903,1.504,0.901,1.166,2.107,0.001,0.001,0.0,17.89,20.42,25.159,2.151,2.472,3.625,2.085,2.482,3.793
RMSEBAMH0_20230216002023030300T.scan,2,48,2.243,2.338,1.53,2.33,1.52,1.837,3.315,0.001,0.001,0.001,27.54,32.385,41.991,3.458,3.902,5.812,3.438,4.034,6.139
RMSEBAMH0_20230216002023030300T.scan,3,72,2.775,2.982,2.112,2.951,2.095,2.423,4.415,0.001,0.002,0.001,35.849,45.465,61.783,4.622,5.2,7.911,4.455,5.575,8.596
RMSEBAMH0_20230216002023030300T.scan,4,96,3.295,3.595,2.729,3.543,2.703,2.971,5.782,0.001,0.002,0.001,46.602,62.133,84.629,5.701,6.669,10.108,5.577,7.188,11.106
RMSEBAMH0_20230216002023030300T.scan,5,120,3.726,4.158,3.357,4.084,3.324,3.43,7.0,0.002,0.002,0.001,56.519,79.841,108.914,6.401,8.043,12.14,6.498,8.84,13.57
RMSEBAMH0_20230216002023030300T.scan,6,144,4.093,4.651,3.868,4.558,3.831,3.761,8.12,0.002,0.002,0.001,65.869,95.245,130.193,7.026,9.117,13.627,7.175,10.065,15.417
RMSEBAMH0_20230216002023030300T.scan,7,168,4.418,5.06,4.291,4.948,4.249,4.042,9.143,0.002,0.002,0.001,74.293,108.438,147.054,7.505,9.999,14.665,7.702,10.931,16.571
RMSEBAMH0_20230216002023030300T.scan,8,192,4.697,5.415,4.63,5.288,4.586,4.196,10.196,0.002,0.002,0.001,82.903,121.472,163.748,8.064,10.881,16.045,8.305,11.666,17.51
RMSEBAMH0_20230216002023030300T.scan,9,216,4.844,5.585,4.926,5.451,4.879,4.326,10.933,0.002,0.002,0.001,89.189,132.151,178.264,8.473,11.451,16.915,8.654,12.244,18.413
RMSEBAMH0_20230216002023030300T.scan,10,240,4.998,5.791,5.072,5.649,5.023,4.384,11.319,0.002,0.002,0.001,92.563,139.335,187.768,8.669,11.88,17.252,8.678,12.514,18.807
RMSEBAMH0_20230216002023030300T.scan,11,264,5.072,5.877,5.177,5.73,5.127,4.474,11.474,0.002,0.002,0.001,94.026,142.466,192.449,8.705,12.083,17.701,8.721,12.56,18.749
ACORBAMH0_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH0_20230216002023030300T.scan,1,24,0.995,0.995,0.997,0.994,0.997,0.973,1.0,0.99,0.981,0.952,0.995,0.998,0.999,0.977,0.981,0.978,0.953,0.965,0.965
ACORBAMH0_20230216002023030300T.scan,2,48,0.989,0.988,0.99,0.987,0.99,0.931,0.999,0.97,0.934,0.844,0.989,0.996,0.997,0.941,0.952,0.941,0.87,0.904,0.905
ACORBAMH0_20230216002023030300T.scan,3,72,0.983,0.98,0.981,0.98,0.981,0.877,0.999,0.951,0.888,0.742,0.98,0.992,0.993,0.892,0.912,0.887,0.776,0.811,0.806
ACORBAMH0_20230216002023030300T.scan,4,96,0.977,0.972,0.968,0.972,0.968,0.812,0.998,0.933,0.853,0.649,0.966,0.984,0.986,0.832,0.851,0.81,0.645,0.677,0.666
ACORBAMH0_20230216002023030300T.scan,5,120,0.971,0.963,0.952,0.963,0.952,0.749,0.997,0.915,0.828,0.583,0.948,0.974,0.977,0.78,0.776,0.716,0.513,0.509,0.484
ACORBAMH0_20230216002023030300T.scan,6,144,0.965,0.954,0.938,0.954,0.938,0.698,0.997,0.902,0.809,0.529,0.927,0.962,0.968,0.727,0.704,0.635,0.402,0.362,0.325
ACORBAMH0_20230216002023030300T.scan,7,168,0.96,0.947,0.924,0.946,0.925,0.653,0.996,0.893,0.797,0.498,0.904,0.951,0.959,0.678,0.634,0.57,0.312,0.248,0.226
ACORBAMH0_20230216002023030300T.scan,8,192,0.956,0.94,0.913,0.94,0.913,0.628,0.995,0.882,0.784,0.47,0.878,0.938,0.95,0.626,0.559,0.482,0.219,0.146,0.133
ACORBAMH0_20230216002023030300T.scan,9,216,0.955,0.939,0.903,0.939,0.904,0.611,0.994,0.873,0.778,0.443,0.856,0.928,0.941,0.581,0.5,0.41,0.177,0.065,0.044
ACORBAMH0_20230216002023030300T.scan,10,240,0.953,0.936,0.9,0.936,0.9,0.605,0.993,0.868,0.775,0.417,0.844,0.92,0.935,0.557,0.459,0.386,0.179,0.028,0.012
ACORBAMH0_20230216002023030300T.scan,11,264,0.953,0.935,0.897,0.935,0.897,0.592,0.993,0.867,0.775,0.403,0.84,0.917,0.933,0.55,0.436,0.357,0.172,0.024,0.035
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,-0.62,-0.96,-0.075,-0.972,-0.078,0.092,-0.011,0.0,0.0,0.0,2.009,-3.879,-2.129,-0.143,-0.067,-0.154,0.18,-0.017,-0.063
VIESX666_20230216002023030300T.scan,2,48,-0.778,-1.244,-0.124,-1.26,-0.13,0.041,-0.011,0.0,0.0,0.0,1.988,-6.792,-4.792,-0.168,-0.116,-0.269,0.185,-0.014,-0.005
VIESX666_20230216002023030300T.scan,3,72,-0.843,-1.393,-0.184,-1.414,-0.193,-0.051,-0.009,0.0,0.0,0.0,1.941,-9.132,-7.686,-0.139,-0.088,-0.315,0.187,-0.025,0.022
VIESX666_20230216002023030300T.scan,4,96,-0.924,-1.522,-0.283,-1.546,-0.293,-0.166,0.013,-0.0,0.0,0.0,2.122,-11.423,-11.541,-0.052,-0.015,-0.276,0.179,-0.021,-0.005
VIESX666_20230216002023030300T.scan,5,120,-1.008,-1.653,-0.417,-1.679,-0.428,-0.298,0.165,-0.0,0.0,0.0,3.508,-12.796,-15.205,-0.014,0.064,-0.238,0.197,-0.006,0.015
VIESX666_20230216002023030300T.scan,6,144,-1.068,-1.778,-0.557,-1.806,-0.568,-0.46,0.121,-0.0,0.0,0.0,3.049,-15.688,-21.191,0.044,0.166,-0.156,0.219,0.026,0.056
VIESX666_20230216002023030300T.scan,7,168,-1.146,-1.886,-0.706,-1.914,-0.718,-0.609,-0.054,-0.0,0.0,0.0,1.547,-19.975,-28.442,0.105,0.283,-0.058,0.233,0.041,0.056
VIESX666_20230216002023030300T.scan,8,192,-1.246,-2.009,-0.883,-2.039,-0.894,-0.739,-0.114,-0.0,0.0,0.0,1.203,-23.176,-35.164,0.152,0.41,0.099,0.212,0.06,0.062
VIESX666_20230216002023030300T.scan,9,216,-1.386,-2.172,-1.043,-2.201,-1.054,-0.794,-0.105,-0.0,0.0,0.0,1.245,-25.937,-40.181,0.216,0.56,0.311,0.194,0.026,0.046
VIESX666_20230216002023030300T.scan,10,240,-1.507,-2.3,-1.134,-2.326,-1.145,-0.847,-0.246,-0.0,0.0,0.0,-0.095,-28.959,-44.436,0.193,0.647,0.421,0.222,0.013,0.016
VIESX666_20230216002023030300T.scan,11,264,-1.624,-2.432,-1.167,-2.459,-1.179,-0.893,-0.285,-0.0,0.0,0.0,-0.17,-30.162,-46.091,0.162,0.67,0.479,0.201,0.007,-0.003
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEX666_20230216002023030300T.scan,1,24,2.555,2.387,0.784,2.396,0.786,0.967,1.449,0.001,0.001,0.0,17.554,12.887,13.474,2.818,2.479,3.089,2.651,2.446,3.162
RMSEX666_20230216002023030300T.scan,2,48,2.901,2.831,1.297,2.832,1.293,1.533,2.573,0.001,0.001,0.001,25.51,24.393,28.321,3.621,3.601,4.898,3.421,3.569,4.975
RMSEX666_20230216002023030300T.scan,3,72,3.209,3.216,1.814,3.201,1.804,2.09,3.668,0.001,0.002,0.001,33.321,36.454,44.928,4.426,4.823,6.822,4.161,4.862,7.079
RMSEX666_20230216002023030300T.scan,4,96,3.632,3.686,2.352,3.65,2.334,2.613,4.823,0.001,0.002,0.001,41.183,50.825,66.017,5.206,6.091,8.855,4.988,6.35,9.482
RMSEX666_20230216002023030300T.scan,5,120,4.0,4.137,2.955,4.082,2.93,3.127,6.104,0.001,0.002,0.001,50.846,66.863,89.14,5.941,7.388,10.787,5.793,7.783,11.775
RMSEX666_20230216002023030300T.scan,6,144,4.412,4.653,3.478,4.577,3.448,3.488,7.347,0.002,0.002,0.001,60.793,83.599,111.441,6.649,8.663,12.655,6.599,9.138,13.87
RMSEX666_20230216002023030300T.scan,7,168,4.802,5.103,3.95,5.007,3.915,3.804,8.466,0.002,0.002,0.001,69.403,99.649,134.055,7.186,9.731,14.067,7.207,10.372,15.629
RMSEX666_20230216002023030300T.scan,8,192,5.216,5.539,4.332,5.428,4.295,4.042,9.294,0.002,0.002,0.001,75.466,111.499,151.018,7.652,10.401,14.956,7.761,11.302,16.917
RMSEX666_20230216002023030300T.scan,9,216,5.459,5.789,4.638,5.668,4.599,4.216,10.32,0.002,0.002,0.001,83.475,122.986,165.595,8.191,11.179,16.099,8.14,11.759,17.497
RMSEX666_20230216002023030300T.scan,10,240,5.642,6.057,4.92,5.925,4.875,4.321,10.964,0.002,0.002,0.001,88.519,131.767,179.13,8.514,11.701,17.0,8.406,12.054,18.073
