,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
RMSEBAMH_20230216002023030300T.scan,1,24,0.896,0.924,0.753,0.989,0.773,0.875,2.037,0.001,0.001,0.001,19.482,21.609,26.45,3.644,2.195,4.228,3.453,2.066,4.344
RMSEBAMH_20230216002023030300T.scan,2,48,1.137,1.219,0.946,1.308,0.978,1.043,2.198,0.001,0.002,0.001,20.423,22.284,28.046,4.706,3.039,5.6,4.395,2.788,5.624
RMSEBAMH_20230216002023030300T.scan,3,72,1.294,1.379,1.043,1.471,1.079,1.112,2.36,0.002,0.002,0.001,21.616,23.554,29.856,5.268,3.646,6.488,4.872,3.296,6.388
RMSEBAMH_20230216002023030300T.scan,4,96,1.407,1.505,1.122,1.596,1.16,1.184,2.485,0.002,0.002,0.001,22.622,24.894,31.673,5.615,4.17,7.229,5.055,3.611,7.116
RMSEBAMH_20230216002023030300T.scan,5,120,1.542,1.615,1.194,1.701,1.231,1.22,2.479,0.002,0.002,0.001,22.461,24.805,32.654,5.963,4.527,7.736,5.277,3.846,7.642
RMSEBAMH_20230216002023030300T.scan,6,144,1.632,1.735,1.278,1.819,1.321,1.266,2.52,0.002,0.002,0.001,22.528,24.76,33.878,6.184,4.832,8.258,5.435,3.975,7.812
RMSEBAMH_20230216002023030300T.scan,7,168,1.682,1.827,1.313,1.908,1.359,1.313,2.525,0.002,0.002,0.001,22.492,24.911,35.065,6.274,5.162,8.693,5.596,4.108,8.132
RMSEBAMH_20230216002023030300T.scan,8,192,1.738,1.88,1.355,1.961,1.405,1.38,2.514,0.002,0.002,0.001,22.511,25.457,36.851,6.368,5.436,9.176,5.619,4.296,8.483
RMSEBAMH_20230216002023030300T.scan,9,216,1.786,1.933,1.425,2.015,1.473,1.461,2.608,0.002,0.002,0.001,23.185,25.937,38.214,6.594,5.731,9.615,5.659,4.502,8.702
RMSEBAMH_20230216002023030300T.scan,10,240,1.843,1.999,1.475,2.084,1.528,1.539,2.757,0.002,0.002,0.001,24.218,26.535,39.727,6.714,5.983,10.374,5.708,4.663,9.162
RMSEBAMH_20230216002023030300T.scan,11,264,1.901,2.029,1.522,2.118,1.577,1.618,2.818,0.002,0.002,0.001,24.65,27.206,41.304,6.84,6.306,10.936,5.764,4.87,9.385
ACORBAMH_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH_20230216002023030300T.scan,1,24,0.953,0.945,0.922,0.938,0.918,0.896,0.999,0.95,0.931,0.921,0.672,0.662,0.875,0.841,0.949,0.951,0.738,0.868,0.855
ACORBAMH_20230216002023030300T.scan,2,48,0.926,0.907,0.869,0.894,0.861,0.85,0.998,0.905,0.863,0.842,0.659,0.658,0.861,0.736,0.903,0.91,0.568,0.752,0.745
ACORBAMH_20230216002023030300T.scan,3,72,0.905,0.883,0.839,0.868,0.828,0.833,0.998,0.88,0.823,0.789,0.619,0.614,0.846,0.666,0.86,0.879,0.463,0.651,0.66
ACORBAMH_20230216002023030300T.scan,4,96,0.89,0.863,0.812,0.847,0.798,0.821,0.998,0.866,0.801,0.745,0.583,0.561,0.827,0.63,0.817,0.845,0.415,0.573,0.57
ACORBAMH_20230216002023030300T.scan,5,120,0.87,0.842,0.785,0.827,0.769,0.817,0.998,0.852,0.79,0.72,0.59,0.551,0.821,0.598,0.784,0.821,0.363,0.497,0.512
